station,latitude,longitude,road_density_1km,road_density_3km,road_density_5km,major_road_distance,industry_area_N,industry_area_NE,industry_area_E,industry_area_SE,industry_area_S,industry_area_SW,industry_area_W,industry_area_NW,construction_area_N,construction_area_NE,construction_area_E,construction_area_SE,construction_area_S,construction_area_SW,construction_area_W,construction_area_NW,industrial_poi_count,construction_site_count
"Kurla, Mumbai - MPCB",19.0728,72.8826,119798.39556405065,792565.9074666703,2151360.335735156,74.63846459713415,905351.2766362616,1500981.4261526335,439763.8065111337,3150965.1428026347,2721503.964923541,713363.8553056264,168594.6183151859,339218.84458860435,102376.82430700358,697572.730408468,104099.67531881556,97705.92663737889,28162.74532213826,338691.93227678083,224715.970267474,1566.4003990327772,122,72
"Chhatrapati Shivaji Intl. Airport (T2), Mumbai - MPCB",19.0974,72.8743,84637.11034051082,794310.6043301927,2171697.4808225604,360.553557224535,540823.642568636,567324.7068017785,1629410.0465642628,794551.1097339868,2404283.8928194493,16057.4069031031,130434.77931639751,850383.7972743016,129406.53195137066,270801.1254897817,444141.1036951255,134495.87531918442,357435.6206825985,157410.09760097426,13733.162653892176,43828.15831095305,100,118
"Worli, Mumbai - MPCB",19.0169,72.8169,61307.2478476336,425614.2048392366,1198310.7572608695,140.17904857418185,72953.0038916281,194801.7090524138,1533021.8407715864,4063313.03207029,364674.4111778268,0.0,0.0,0.0,67678.22328160238,150344.6650578535,93330.49017692317,110127.8766672719,182617.74378106743,0.0,0.0,0.0,99,72
"Sion, Mumbai - MPCB",19.047,72.8746,101830.50856132022,852517.7251397759,1986977.3892449085,364.2624526637517,438250.58255592687,515055.4374937494,582895.8944615558,9975096.147799185,1368213.9712746046,1356402.1074923507,232129.2571815717,153755.26736986253,282920.5520934388,373846.00251590455,38363.16418736717,4130.60688972662,0.0,99114.77314586754,102987.55410323486,205159.60351970937,123,88
"Powai, Mumbai - MPCB",19.1176,72.906,78786.18966625906,627135.4262269363,1380318.1214564224,244.1083303422484,0.0,1539834.201050592,275792.7207897114,1042186.4150878442,545602.5127765158,970776.4019349908,462928.05441481975,881219.0867362629,0.0,260699.78048426096,259071.2043360597,267278.63400319254,237766.79430918169,43785.68352942542,58591.14077757816,113237.00554184904,145,48
"Borivali East, Mumbai - MPCB",19.229,72.8649,103431.40141502047,553794.0506387963,1145857.6462529227,145.19003217352662,184576.50329755532,276606.2938030718,0.0,0.0,664734.9021281283,1058611.2270188015,34017.720513010274,79142.03543856193,126160.63941291445,436974.410390828,0.0,0.0,65119.654954753496,0.0,0.0,9356.286522433667,33,32
"Vasai West, Mumbai - MPCB",19.38,72.8256,67064.65932496749,312562.18357850605,781497.3832226944,268.5951860632269,17791.286471490814,907118.7264311061,0.0,0.0,0.0,0.0,714.2031632820273,0.0,151627.29750962227,804410.2886340177,716096.555408492,241937.89273379155,8221.092184196335,234357.97215222495,11061.591511473038,61770.022686874036,18,132
