country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max
India,Odisha,Byasanagar,"Ferro Chrome Colony, Byasanagar - OSPCB",19-05-2025 10:00:00,20.94185,86.11510,SO2,3,11
India,Odisha,Byasanagar,"Ferro Chrome Colony, Byasanagar - OSPCB",19-05-2025 10:00:00,20.94185,86.11510,OZONE,1,86
India,Odisha,Keonjhar,"Jagamohanpur, Keonjhar - OSPCB",19-05-2025 10:00:00,21.643900,85.599355,SO2,9,12
India,Odisha,Nayagarh,"Dabuna, Nayagarh - OSPCB",19-05-2025 10:00:00,21.847279,85.416905,PM2.5,17,43
India,Odisha,Rairangpur,"Divisional Forest Office, Rairangpur - OSPCB",19-05-2025 10:00:00,22.265816,86.174829,PM2.5,21,69
India,Odisha,Rairangpur,"Divisional Forest Office, Rairangpur - OSPCB",19-05-2025 10:00:00,22.265816,86.174829,NO2,NA,NA
India,Odisha,Rairangpur,"Divisional Forest Office, Rairangpur - OSPCB",19-05-2025 10:00:00,22.265816,86.174829,SO2,NA,NA
India,Punjab,Amritsar,"Golden Temple, Amritsar - PPCB",19-05-2025 10:00:00,31.620000,74.876512,SO2,2,104
India,Punjab,Jalandhar,"Civil Line, Jalandhar - PPCB",19-05-2025 10:00:00,31.321907,75.578914,PM2.5,135,223
India,Punjab,Jalandhar,"Civil Line, Jalandhar - PPCB",19-05-2025 10:00:00,31.321907,75.578914,SO2,12,14
India,Punjab,Khanna,"Kalal Majra, Khanna - PPCB",19-05-2025 10:00:00,30.736056 ,76.209694,PM10,101,166
India,Punjab,Khanna,"Kalal Majra, Khanna - PPCB",19-05-2025 10:00:00,30.736056 ,76.209694,CO,2,46
India,Punjab,Khanna,"Kalal Majra, Khanna - PPCB",19-05-2025 10:00:00,30.736056 ,76.209694,OZONE,9,52
India,Maharashtra,Navi Mumbai,"Sector-2E Kalamboli, Navi Mumbai - MPCB",19-05-2025 10:00:00,19.02579,73.10297,PM2.5,38,59
India,Maharashtra,Navi Mumbai,"Sector-2E Kalamboli, Navi Mumbai - MPCB",19-05-2025 10:00:00,19.02579,73.10297,SO2,1,10
India,Maharashtra,Navi Mumbai,"Sector-2E Kalamboli, Navi Mumbai - MPCB",19-05-2025 10:00:00,19.02579,73.10297,CO,15,25
India,Maharashtra,Navi Mumbai,"Tondare-Taloja, Navi Mumbai - MPCB",19-05-2025 10:00:00,19.0630,73.1209,SO2,NA,NA
India,Maharashtra,Pimpri-Chinchwad,"Gavalinagar, Pimpri Chinchwad - MPCB",19-05-2025 10:00:00,18.63673,73.82487,NO2,18,37
India,Odisha,Baripada,"Meher Colony, Baripada - OSPCB",19-05-2025 10:00:00,21.941841,86.728318,NH3,1,1
India,Odisha,Baripada,"Meher Colony, Baripada - OSPCB",19-05-2025 10:00:00,21.941841,86.728318,OZONE,7,28
India,Odisha,Bileipada,"Tata Township, Bileipada - OSPCB",19-05-2025 10:00:00,22.06156703,85.47409613,NH3,4,4
India,Odisha,Brajrajnagar,"GM Office, Brajrajnagar - OSPCB",19-05-2025 10:00:00,21.8004996,83.8396977,PM2.5,4,79
India,Rajasthan,Karauli,"Satyawati Vihar, Karauli - RSPCB",19-05-2025 10:00:00,26.506177,77.025989,NH3,3,18
India,Rajasthan,Kota,"Dhanmandi, Kota - RSPCB",19-05-2025 10:00:00,25.164090,75.858137,PM2.5,23,51
India,Rajasthan,Kota,"Dhanmandi, Kota - RSPCB",19-05-2025 10:00:00,25.164090,75.858137,PM10,54,107
India,Rajasthan,Kota,"Dhanmandi, Kota - RSPCB",19-05-2025 10:00:00,25.164090,75.858137,NO2,14,58
India,Rajasthan,Kota,"Nayapura, Kota - RSPCB",19-05-2025 10:00:00,25.196024,75.855668,PM2.5,25,68
India,Rajasthan,Kota,"Nayapura, Kota - RSPCB",19-05-2025 10:00:00,25.196024,75.855668,PM10,53,106
India,Rajasthan,Kota,"Shrinath Puram, Kota - RSPCB",19-05-2025 10:00:00,25.14389,75.821256,NH3,1,4
India,Rajasthan,Nagaur,"Karni Colony, Nagaur - RSPCB",19-05-2025 10:00:00,27.213494,73.734444,NO2,6,12
India,Rajasthan,Pali,"Indira Colony Vistar, Pali - RSPCB",19-05-2025 10:00:00,25.771061, 73.340227,PM2.5,26,84
India,Rajasthan,Jodhpur,"Collectorate, Jodhpur - RSPCB",19-05-2025 10:00:00,26.268249,73.0193853,NH3,1,5
India,Rajasthan,Jodhpur,"Collectorate, Jodhpur - RSPCB",19-05-2025 10:00:00,26.268249,73.0193853,OZONE,5,29
India,Rajasthan,Jodhpur,"Jhalamand, Jodhpur - RSPCB",19-05-2025 10:00:00,26.215415,73.070156,OZONE,25,78
India,Rajasthan,Jodhpur,"Mandor, Jodhpur - RSPCB",19-05-2025 10:00:00,26.358805,73.047444,NO2,7,33
India,Rajasthan,Jodhpur,"Mandor, Jodhpur - RSPCB",19-05-2025 10:00:00,26.358805,73.047444,CO,16,22
India,Rajasthan,Jodhpur,"Mandor, Jodhpur - RSPCB",19-05-2025 10:00:00,26.358805,73.047444,OZONE,29,74
India,Rajasthan,Jodhpur,"Samrat Ashok Udhyan, Jodhpur - RSPCB",19-05-2025 10:00:00,26.253384,72.976571,NO2,3,6
India,Rajasthan,Jodhpur,"Samrat Ashok Udhyan, Jodhpur - RSPCB",19-05-2025 10:00:00,26.253384,72.976571,SO2,1,5
India,Rajasthan,Jodhpur,"Samrat Ashok Udhyan, Jodhpur - RSPCB",19-05-2025 10:00:00,26.253384,72.976571,OZONE,27,72
India,Rajasthan,Karauli,"Satyawati Vihar, Karauli - RSPCB",19-05-2025 10:00:00,26.506177,77.025989,PM2.5,3,68
India,Rajasthan,Bhiwadi,"Vasundhara Nagar_UIT, Bhiwadi - RSPCB",19-05-2025 10:00:00,28.207266,76.829265,PM10,67,168
India,Rajasthan,Bhiwadi,"Vasundhara Nagar_UIT, Bhiwadi - RSPCB",19-05-2025 10:00:00,28.207266,76.829265,NH3,5,19
India,Rajasthan,Bhiwadi,"Vasundhara Nagar_UIT, Bhiwadi - RSPCB",19-05-2025 10:00:00,28.207266,76.829265,SO2,12,49
India,Rajasthan,Bikaner,"MM Ground, Bikaner - RSPCB",19-05-2025 10:00:00,28.018792,73.292658,PM2.5,13,42
India,Rajasthan,Bikaner,"MM Ground, Bikaner - RSPCB",19-05-2025 10:00:00,28.018792,73.292658,SO2,2,6
India,Rajasthan,Bikaner,"MM Ground, Bikaner - RSPCB",19-05-2025 10:00:00,28.018792,73.292658,CO,8,48
