country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Chhattisgarh,Tumidih,"OP Jindal Industrial Park, Tumidih - CECB","09-07-2026 18:00:00",22.06631475,83.33820077,CO,15,21,17
India,Delhi,Delhi,"Pusa, Delhi - IITM","09-07-2026 18:00:00",28.63611,77.173332,NH3,NA,NA,NA
India,Delhi,Delhi,"Pusa, Delhi - IITM","09-07-2026 18:00:00",28.63611,77.173332,OZONE,29,49,39
India,Delhi,Delhi,"Major Dhyan Chand National Stadium, Delhi - DPCC","09-07-2026 18:00:00",28.611281,77.237738,PM10,5,57,29
India,Delhi,Delhi,"Major Dhyan Chand National Stadium, Delhi - DPCC","09-07-2026 18:00:00",28.611281,77.237738,NH3,8,13,10
India,"Andhra Pradesh",Vijayawada,"HB Colony, Vijayawada - APPCB","09-07-2026 18:00:00",16.536107,80.594233,SO2,5,20,12
India,"Andhra Pradesh",Vijayawada,"HB Colony, Vijayawada - APPCB","09-07-2026 18:00:00",16.536107,80.594233,OZONE,15,32,24
India,"Andhra Pradesh",Vijayawada,"Kanuru, Vijayawada - APPCB","09-07-2026 18:00:00",16.486692,80.699436,PM2.5,NA,NA,NA
India,"Andhra Pradesh",Vijayawada,"Kanuru, Vijayawada - APPCB","09-07-2026 18:00:00",16.486692,80.699436,CO,21,31,26
India,"Andhra Pradesh",Vijayawada,"Rajiv Nagar, Vijayawada - APPCB","09-07-2026 18:00:00",16.554731,80.64911,NH3,3,6,5
India,"Andhra Pradesh",Vijayawada,"Rajiv Nagar, Vijayawada - APPCB","09-07-2026 18:00:00",16.554731,80.64911,OZONE,18,50,31
India,"Andhra Pradesh",Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB","09-07-2026 18:00:00",17.72,83.3,SO2,3,34,15
India,"Andhra Pradesh",Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB","09-07-2026 18:00:00",17.72,83.3,OZONE,24,47,36
India,"Arunachal Pradesh",Naharlagun,"Naharlagun, Naharlagun - APSPCB","09-07-2026 18:00:00",27.103358,93.679645,PM10,2,40,14
India,"Arunachal Pradesh",Naharlagun,"Naharlagun, Naharlagun - APSPCB","09-07-2026 18:00:00",27.103358,93.679645,OZONE,6,6,6
India,Assam,Byrnihat,"Central Academy for SFS, Byrnihat - PCBA","09-07-2026 18:00:00",26.071318,91.87488,PM2.5,NA,NA,NA
India,Assam,Byrnihat,"Central Academy for SFS, Byrnihat - PCBA","09-07-2026 18:00:00",26.071318,91.87488,CO,38,57,49
India,Assam,Guwahati,"Railway Colony, Guwahati - PCBA","09-07-2026 18:00:00",26.181742,91.78063,PM10,NA,NA,NA
India,Assam,Guwahati,"Railway Colony, Guwahati - PCBA","09-07-2026 18:00:00",26.181742,91.78063,NO2,3,4,3
India,Assam,Guwahati,"Railway Colony, Guwahati - PCBA","09-07-2026 18:00:00",26.181742,91.78063,OZONE,16,51,27
India,Bihar,Begusarai,"Lohiyanagar, Begusarai - BSPCB","09-07-2026 18:00:00",25.42742023,86.13886079,CO,17,18,17
India,Bihar,Begusarai,"Lohiyanagar, Begusarai - BSPCB","09-07-2026 18:00:00",25.42742023,86.13886079,OZONE,39,41,40
India,Bihar,Bettiah,"Kamalnath Nagar, Bettiah - BSPCB","09-07-2026 18:00:00",26.80365,84.51954,NO2,NA,NA,NA
India,Bihar,Bettiah,"Kamalnath Nagar, Bettiah - BSPCB","09-07-2026 18:00:00",26.80365,84.51954,CO,31,46,38
India,Bihar,Bhagalpur,"Mayaganj, Bhagalpur - BSPCB","09-07-2026 18:00:00",25.265194,87.012947,PM2.5,NA,NA,NA
India,Bihar,"Bihar Sharif","D M Colony, Bihar Sharif - BSPCB","09-07-2026 18:00:00",25.204762,85.51496,NH3,3,4,3
India,Bihar,Buxar,"Charitra Van, Buxar - BSPCB","09-07-2026 18:00:00",25.56752,83.966379,PM10,17,95,39
India,Bihar,Buxar,"Charitra Van, Buxar - BSPCB","09-07-2026 18:00:00",25.56752,83.966379,NH3,3,3,3
India,Bihar,Chhapra,"Darshan Nagar, Chhapra - BSPCB","09-07-2026 18:00:00",25.7808257,84.7446768,PM2.5,47,72,55
India,Bihar,Gaya,"Collectorate, Gaya - BSPCB","09-07-2026 18:00:00",24.7955,84.9994,NO2,8,10,9
India,Bihar,Gaya,"Collectorate, Gaya - BSPCB","09-07-2026 18:00:00",24.7955,84.9994,CO,11,12,12
India,Bihar,Patna,"Govt. High School Shikarpur, Patna - BSPCB","09-07-2026 18:00:00",25.592539,85.227158,NH3,6,6,6
India,Bihar,Patna,"Govt. High School Shikarpur, Patna - BSPCB","09-07-2026 18:00:00",25.592539,85.227158,CO,38,73,54
India,Bihar,Patna,"Rajbansi Nagar, Patna - BSPCB","09-07-2026 18:00:00",25.599486,85.113666,NO2,28,32,31
India,Bihar,Patna,"Rajbansi Nagar, Patna - BSPCB","09-07-2026 18:00:00",25.599486,85.113666,OZONE,27,35,32
India,Bihar,Patna,"Muradpur, Patna - BSPCB","09-07-2026 18:00:00",25.619651,85.147382,PM10,NA,NA,NA
India,Bihar,Patna,"Muradpur, Patna - BSPCB","09-07-2026 18:00:00",25.619651,85.147382,CO,43,54,49
India,Bihar,Patna,"Samanpura, Patna - BSPCB","09-07-2026 18:00:00",25.596727,85.085624,PM2.5,22,188,80
India,Bihar,Patna,"Samanpura, Patna - BSPCB","09-07-2026 18:00:00",25.596727,85.085624,NH3,5,9,8
India,Bihar,Patna,"IGSC Planetarium Complex, Patna - BSPCB","09-07-2026 18:00:00",25.610369,85.132568,PM2.5,32,78,56
India,Bihar,Purnia,"Mariam Nagar, Purnia - BSPCB","09-07-2026 18:00:00",25.366336,87.117468,PM2.5,48,82,60
India,Bihar,Saharsa,"Police Line, Saharsa - BSPCB","09-07-2026 18:00:00",25.892357,86.590325,CO,38,40,39
India,"Andhra Pradesh",Guntur,"Rajendra Nagar North, Guntur - APPCB","09-07-2026 18:00:00",16.316553,80.413302,OZONE,27,49,39
India,"Andhra Pradesh",Kurnool,"Sita Rama Nagar, Kurnool - APPCB","09-07-2026 18:00:00",15.83411,78.028546,NO2,23,27,25
India,"Andhra Pradesh",Machilipatnam,"Srinivas Nagar Colony, Machilipatnam - APPCB","09-07-2026 18:00:00",16.186555,81.13219,NO2,17,31,21
India,"Andhra Pradesh",Nellore,"Ambedkar Nagar, Nellore - APPCB ","09-07-2026 18:00:00",14.438164,79.966814,PM2.5,46,70,55
India,"Andhra Pradesh",Nellore,"Ambedkar Nagar, Nellore - APPCB ","09-07-2026 18:00:00",14.438164,79.966814,OZONE,32,40,37
India,"Andhra Pradesh",Tirumala,"Toll Gate, Tirumala - APPCB","09-07-2026 18:00:00",13.67,79.35,NH3,2,3,2
India,"Andhra Pradesh",Tirupati,"Vaikuntapuram, Tirupati - APPCB","09-07-2026 18:00:00",13.615387,79.40923,PM10,65,85,71
India,"Andhra Pradesh",Vijayawada,"HB Colony, Vijayawada - APPCB","09-07-2026 18:00:00",16.536107,80.594233,NH3,2,5,3
India,Delhi,Delhi,"Sonia Vihar, Delhi - DPCC","09-07-2026 18:00:00",28.710508,77.249485,PM2.5,NA,NA,NA
India,Delhi,Delhi,"Sonia Vihar, Delhi - DPCC","09-07-2026 18:00:00",28.710508,77.249485,NO2,8,12,10
India,Delhi,Delhi,"Sonia Vihar, Delhi - DPCC","09-07-2026 18:00:00",28.710508,77.249485,NH3,13,24,17
India,Delhi,Delhi,"Patparganj, Delhi - DPCC","09-07-2026 18:00:00",28.623763,77.287209,PM10,3,50,21
India,Delhi,Delhi,"Patparganj, Delhi - DPCC","09-07-2026 18:00:00",28.623763,77.287209,NO2,6,40,14
India,Delhi,Delhi,"Patparganj, Delhi - DPCC","09-07-2026 18:00:00",28.623763,77.287209,CO,36,42,39
India,Delhi,Delhi,"Jawaharlal Nehru Stadium, Delhi - DPCC","09-07-2026 18:00:00",28.58028,77.233829,SO2,4,11,8
India,Delhi,Delhi,"IHBAS, Dilshad Garden, Delhi - CPCB","09-07-2026 18:00:00",28.6811736,77.3025234,SO2,11,26,17
India,Delhi,Delhi,"IHBAS, Dilshad Garden, Delhi - CPCB","09-07-2026 18:00:00",28.6811736,77.3025234,CO,27,62,43
India,Delhi,Delhi,"Sri Aurobindo Marg, Delhi - DPCC","09-07-2026 18:00:00",28.531346,77.190156,NH3,8,14,11
India,Assam,Guwahati,"LGBI Airport, Guwahati - PCBA","09-07-2026 18:00:00",26.10887,91.589544,PM10,14,63,43
India,Assam,Guwahati,"LGBI Airport, Guwahati - PCBA","09-07-2026 18:00:00",26.10887,91.589544,NO2,8,318,27
India,Assam,Guwahati,"LGBI Airport, Guwahati - PCBA","09-07-2026 18:00:00",26.10887,91.589544,CO,10,34,22
India,Assam,Guwahati,"Pan Bazaar, Guwahati - PCBA","09-07-2026 18:00:00",26.1875,91.744194,OZONE,17,21,18
India,Assam,Silchar,"Tarapur, Silchar - PCBA","09-07-2026 18:00:00",24.82827,92.79525,PM10,44,56,48
India,Assam,Silchar,"Tarapur, Silchar - PCBA","09-07-2026 18:00:00",24.82827,92.79525,CO,28,36,33
India,Assam,Sivasagar,"Girls College, Sivasagar - PCBA","09-07-2026 18:00:00",26.987634,94.636574,PM2.5,11,16,12
India,Bihar,Araria,"Kharahiya Basti, Araria - BSPCB","09-07-2026 18:00:00",26.146529,87.454184,NO2,11,19,14
India,Bihar,Araria,"Kharahiya Basti, Araria - BSPCB","09-07-2026 18:00:00",26.146529,87.454184,NH3,5,6,5
India,"Andhra Pradesh",Amaravati,"Secretariat, Amaravati - APPCB","09-07-2026 18:00:00",16.5150833,80.5181667,PM10,22,109,62
India,"Andhra Pradesh",Amaravati,"Secretariat, Amaravati - APPCB","09-07-2026 18:00:00",16.5150833,80.5181667,NH3,2,4,3
India,"Andhra Pradesh",Anantapur,"Gulzarpet, Anantapur - APPCB","09-07-2026 18:00:00",14.675886,77.593027,PM2.5,68,401,117
India,"Andhra Pradesh",Chittoor,"Gangineni Cheruvu, Chittoor - APPCB","09-07-2026 18:00:00",13.20488,79.097889,NO2,22,34,24
India,"Andhra Pradesh",Eluru,"District Court, Eluru - APPCB","09-07-2026 18:00:00",16.711754,81.092095,OZONE,13,23,18
